method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,33,0,15.655246036942117,-20076.235541868893,-11940.215540941195,,5000,1,32664371,ok
DS order-1.5 block Gaussian,20,20,33,7,108.53797862993088,-4945.427532429277,-4688.403656675292,,5000,1,32664378,ok
DS order-1.5 block Gaussian,20,20,33,13,209.65944278798997,-4377.69127806655,-4274.546856009221,,5000,1,32664384,ok
DS order-1.5 block Gaussian,20,20,33,20,324.11056375992484,-4210.437132365089,-4124.5691431591,,5000,1,32664391,ok
DS order-1.5 block Gaussian,20,20,33,26,404.2371148079401,-4215.739244591341,-4058.698775414261,,5000,1,32664397,ok
DS order-1.5 block Gaussian,20,20,33,32,505.9521321359789,-4083.350112806952,-4044.8137476617,,5000,1,32664403,ok
DS order-1.5 block Gaussian,20,20,33,40,699.1960515499813,-4107.66486614821,-4037.4541055861114,,5000,1,32664411,ok
DS order-1.5 block Gaussian,20,20,33,41,712.5448858889285,-4081.011427056604,-4027.542205988832,,5000,1,32664412,ok
DS order-1.5 block Gaussian,20,20,33,48,805.975972588989,-4020.703578866345,-4011.8588816754,,5000,1,32664419,ok
DS order-1.5 block Gaussian,20,20,34,0,15.670503283035941,-8895.329151022812,-6674.640979218045,,5000,1,32665368,ok
DS order-1.5 block Gaussian,20,20,34,7,108.5413223359501,-4861.996249644391,-4785.730912373051,,5000,1,32665375,ok
DS order-1.5 block Gaussian,20,20,34,13,210.20708875800483,-4243.862981768183,-4114.801520249077,,5000,1,32665381,ok
DS order-1.5 block Gaussian,20,20,34,20,325.24440446996596,-4390.5377140911305,-4244.284485269277,,5000,1,32665388,ok
DS order-1.5 block Gaussian,20,20,34,26,405.3122783449944,-4123.660315457485,-4090.9342904069727,,5000,1,32665394,ok
DS order-1.5 block Gaussian,20,20,34,32,507.00049311993644,-3986.7767503164505,-3936.4378556832808,,5000,1,32665400,ok
DS order-1.5 block Gaussian,20,20,34,39,600.4233743490186,-3976.6751224250856,-3923.1856291650615,,5000,1,32665407,ok
DS order-1.5 block Gaussian,20,20,34,45,702.1068098309916,-3946.186118754428,-3930.880283615635,,5000,1,32665413,ok
DS order-1.5 block Gaussian,20,20,34,51,803.7941891709343,-3942.7106316241156,-3916.1583039018105,,5000,1,32665419,ok
DS order-1.5 block Gaussian,20,20,35,0,15.678690677974373,-4758.843698890432,-4665.710395714183,,5000,1,32666365,ok
DS order-1.5 block Gaussian,20,20,35,7,109.11549997294787,-9055.578191826786,-8351.639133434763,,5000,1,32666372,ok
DS order-1.5 block Gaussian,20,20,35,10,235.63606920593884,-4758.8981078946435,-4664.349834393931,,5000,1,32666375,ok
DS order-1.5 block Gaussian,20,20,35,15,302.38016663095914,-4511.948431134375,-4453.394680456263,,5000,1,32666380,ok
DS order-1.5 block Gaussian,20,20,35,21,404.0901299100369,-4415.698680592754,-4355.681027031937,,5000,1,32666386,ok
DS order-1.5 block Gaussian,20,20,35,29,510.88408503797837,-4405.897057517348,-4302.398774101827,,5000,1,32666394,ok
DS order-1.5 block Gaussian,20,20,35,35,612.599186063977,-4504.800970675256,-4409.917235927221,,5000,1,32666400,ok
DS order-1.5 block Gaussian,20,20,35,40,765.8235591349658,-4431.612842277937,-4320.376220939922,,5000,1,32666405,ok
DS order-1.5 block Gaussian,20,20,35,43,805.868148464011,-4361.709838945879,-4292.501853629537,,5000,1,32666408,ok
DS order-1.5 block Gaussian,20,20,36,0,15.70486128795892,-46099.43923582452,-9961.806891026516,,5000,1,32667362,ok
DS order-1.5 block Gaussian,20,20,36,7,108.557755949907,-5901.547204570492,-5910.62451517381,,5000,1,32667369,ok
DS order-1.5 block Gaussian,20,20,36,13,209.96675369795412,-5954.464936767634,-5920.616071932441,,5000,1,32667375,ok
DS order-1.5 block Gaussian,20,20,36,20,389.87305000796914,-5882.177347885079,-5864.960023383177,,5000,1,32667382,ok
DS order-1.5 block Gaussian,20,20,36,21,403.2198351349216,-5921.028144969063,-5905.301948097384,,5000,1,32667383,ok
DS order-1.5 block Gaussian,20,20,36,29,509.98743680794723,-5916.459833443038,-5923.723842548866,,5000,1,32667391,ok
DS order-1.5 block Gaussian,20,20,36,30,609.8029637389118,-5881.488490917884,-5865.808742937087,,5000,1,32667392,ok
DS order-1.5 block Gaussian,20,20,36,37,703.2177181349834,-5723.090714879434,-5732.280805567489,,5000,1,32667399,ok
DS order-1.5 block Gaussian,20,20,36,43,804.9055407498963,-5399.825510524789,-5359.955976231043,,5000,1,32667405,ok
DS order-1.5 block Gaussian,20,20,37,0,15.69120717397891,-44758.69772876881,-10093.750009617635,,5000,1,32668359,ok
DS order-1.5 block Gaussian,20,20,37,7,108.77001543098595,-5491.503903884283,-5506.394682381691,,5000,1,32668366,ok
DS order-1.5 block Gaussian,20,20,37,13,210.52458154293709,-4609.526124895976,-4292.527885897628,,5000,1,32668372,ok
DS order-1.5 block Gaussian,20,20,37,20,325.6085451649269,-4946.097462148633,-4519.154100953135,,5000,1,32668379,ok
DS order-1.5 block Gaussian,20,20,37,26,405.70973538199905,-5140.191171522598,-4588.44734584322,,5000,1,32668385,ok
DS order-1.5 block Gaussian,20,20,37,32,507.4336882639909,-4532.3280060170155,-4407.4301969048565,,5000,1,32668391,ok
DS order-1.5 block Gaussian,20,20,37,39,600.8901912990259,-4360.637954239475,-4339.821006825539,,5000,1,32668398,ok
DS order-1.5 block Gaussian,20,20,37,40,700.7386238039471,-4613.34516505345,-4433.26187666663,,5000,1,32668399,ok
DS order-1.5 block Gaussian,20,20,37,48,807.5490704559488,-4250.286718426039,-4212.896869467944,,5000,1,32668407,ok
DS order-1.5 block Gaussian,20,20,38,0,15.667105140979402,-7352.398395108394,-6957.375222745711,,5000,1,32669356,ok
DS order-1.5 block Gaussian,20,20,38,7,108.96016045694705,-5108.862659084511,-4871.844888491417,,5000,1,32669363,ok
DS order-1.5 block Gaussian,20,20,38,13,210.68011466797907,-4538.811016112739,-4380.782659630731,,5000,1,32669369,ok
DS order-1.5 block Gaussian,20,20,38,20,325.7329742399743,-4358.900882968312,-4112.162247758297,,5000,1,32669376,ok
DS order-1.5 block Gaussian,20,20,38,26,405.8204387759324,-4230.994279094803,-4048.558334862875,,5000,1,32669382,ok
DS order-1.5 block Gaussian,20,20,38,32,507.5238662379561,-4255.385921438916,-4066.2914104311444,,5000,1,32669388,ok
DS order-1.5 block Gaussian,20,20,38,39,600.9647031310014,-4157.05671449868,-4030.351168167574,,5000,1,32669395,ok
DS order-1.5 block Gaussian,20,20,38,45,702.68753400899,-4158.607709860524,-4023.1140126463642,,5000,1,32669401,ok
DS order-1.5 block Gaussian,20,20,38,51,804.3955419079866,-4093.564624662549,-4007.720293300355,,5000,1,32669407,ok
DS order-1.5 block Gaussian,20,20,39,0,15.69171828997787,-30019.604445050667,-14294.744184362944,,5000,1,32670353,ok
DS order-1.5 block Gaussian,20,20,39,7,109.15609634795692,-4501.400232097125,-4227.506484548764,,5000,1,32670360,ok
DS order-1.5 block Gaussian,20,20,39,13,210.8949801500421,-4318.255161983177,-4276.915082567151,,5000,1,32670366,ok
