method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,7,400,139,399.2992102869903,-4022.6869229669346,-3998.640019914531,0.6845477975815577,500,4,"[-4002.1354006809665, -4009.703563807157, -3997.5689689045494, -3998.5900857116612]"
DS order-1.5 block Gaussian,20,7,500,174,499.6440424879547,-4022.6695353481505,-3982.5048697785132,0.9936659659422717,500,4,"[-3992.5232235228405, -3981.123344299723, -3990.1894102243596, -3986.493468221277]"
DS order-1.5 block Gaussian,20,7,600,209,600.032700724958,-3959.871449045282,-3948.439511568111,0.4247046337607273,500,4,"[-3947.7865807948556, -3948.8928003184965, -3948.075810988712, -3953.808480192227]"
DS order-1.5 block Gaussian,20,7,700,244,698.9737883259659,-3966.5036804320534,-3938.235936018008,0.6426293133470722,500,4,"[-3940.1800492517577, -3937.2077584597328, -3938.180277244963, -3943.8398671358896]"
DS order-1.5 block Gaussian,20,7,800,279,799.7423686749535,-4004.36296730667,-3960.7764577605194,0.6825113774889797,500,4,"[-3969.37792636149, -3959.7145713276223, -3969.3450739354894, -3960.6740770761326]"
DS order-1.5 block Gaussian,20,7,803,280,802.6772437070031,-3967.7949330030087,-3963.1683075965593,0.5065064074034727,500,4,"[-3969.967411429744, -3962.29146788294, -3963.560299722153, -3963.251816178812]"
DS order-1.5 block Gaussian,20,8,0,0,4.732627445016988,-9329.62127233223,-8924.749645553067,1.0,500,4,"[-9002.21681946671, -9041.223774117167, -8923.363351191947, -9063.689082253073]"
DS order-1.5 block Gaussian,20,8,100,34,100.83762510999804,-3980.0962206332306,-3971.573264966039,0.4585603733748121,500,4,"[-3973.0223316829997, -3970.8547903869176, -3973.0524718033957, -3971.1771160181233]"
DS order-1.5 block Gaussian,20,8,200,69,199.29591023304965,-4106.477664859019,-4068.4629725510126,0.9965814433384347,500,4,"[-4076.6363493477647, -4073.0939955169893, -4067.0792472856615, -4076.8131925605667]"
DS order-1.5 block Gaussian,20,8,300,104,298.6065730800037,-3902.469650624579,-3898.6494311359615,0.49371706400461424,500,4,"[-3899.6233393393986, -3901.002099231443, -3898.4359328289047, -3897.821194147647]"
DS order-1.5 block Gaussian,20,8,400,140,400.9465292080422,-3898.1463796570906,-3885.4046552725395,0.7432730832115163,500,4,"[-3885.969815073854, -3884.2404859826975, -3889.580151147992, -3886.95063819616]"
DS order-1.5 block Gaussian,20,8,500,175,500.6678349270369,-4172.902710238321,-4076.377023003767,0.9996509583634873,500,4,"[-4086.2465118956884, -4083.289624876403, -4074.990990477766, -4091.3666908676937]"
DS order-1.5 block Gaussian,20,8,600,210,600.9119699860457,-4520.461207860729,-4338.9390152772685,0.6195019422494077,500,4,"[-4348.021618960301, -4346.896583265008, -4338.002612861272, -4338.568315435368]"
DS order-1.5 block Gaussian,20,8,700,245,699.2550968819996,-4618.2826124745125,-4404.120587412838,0.9999666513286359,500,4,"[-4413.330459412224, -4437.119833911447, -4402.734318063744, -4469.072261546204]"
DS order-1.5 block Gaussian,20,8,800,280,799.6518962410046,-4145.844042476461,-4074.73562399926,0.807649316612257,500,4,"[-4077.286633538023, -4073.512298093574, -4080.8942833126184, -4075.38684244751]"
DS order-1.5 block Gaussian,20,8,803,281,802.6861159230466,-4097.660091423991,-4074.6419948541984,0.9999961258562983,500,4,"[-4096.190798684622, -4073.2557033986914, -4086.7028376075546, -4086.6926942943483]"
DS order-1.5 block Gaussian,20,9,0,0,5.050414815021213,-9351.689565014018,-8488.800487955526,0.9920894437896735,500,4,"[-8592.847598645973, -8613.212048620859, -8487.420156126387, -8492.539433438094]"
DS order-1.5 block Gaussian,20,9,100,33,99.18071194400545,-4201.793596504541,-4167.391414669972,0.9802046971211062,500,4,"[-4194.642605428787, -4170.210131329738, -4179.3769206362795, -4166.020154944817]"
DS order-1.5 block Gaussian,20,9,200,69,200.90696340601426,-4116.853701698126,-4116.937073609844,0.5078172974659788,500,4,"[-4121.35814648879, -4116.173224308688, -4118.169108344993, -4116.498975287181]"
DS order-1.5 block Gaussian,20,9,300,103,298.93067473801784,-4135.339306050036,-4117.638434658181,0.6561298638119286,500,4,"[-4119.235407526674, -4123.270237127044, -4117.727185345317, -4116.5810487544395]"
DS order-1.5 block Gaussian,20,9,400,138,399.1508041030029,-4094.5932361390596,-4074.6998863092085,0.44736390360240463,500,4,"[-4073.9095960228838, -4075.9310245252072, -4075.7574822067345, -4074.5543030284643]"
DS order-1.5 block Gaussian,20,9,500,173,500.02616757398937,-4085.1174476829283,-4072.5146408756736,0.2654473375106952,500,4,"[-4073.9374624223183, -4072.1276761338445, -4072.3370415632153, -4072.4265239681063]"
DS order-1.5 block Gaussian,20,9,600,208,600.4247467810055,-4092.500289756289,-4057.6194257350694,0.9999908188679533,500,4,"[-4068.8325154389404, -4056.233138259826, -4072.967964439232, -4068.808012347898]"
DS order-1.5 block Gaussian,20,9,700,243,700.2762255719863,-4058.0640382837028,-4022.638905808922,0.9997468689997977,500,4,"[-4021.2528013247975, -4042.816673942289, -4033.1073947462073, -4029.8599807649925]"
DS order-1.5 block Gaussian,20,9,800,277,798.6564568239846,-4031.9336577887393,-4024.2117074119587,0.5545366078130475,500,4,"[-4023.25956672586, -4024.4962519398287, -4028.305185681084, -4024.658445781758]"
DS order-1.5 block Gaussian,20,9,802,278,801.539674945001,-4034.342033654654,-4026.8094776050475,0.9352246336335176,500,4,"[-4025.4734085255586, -4032.366245182321, -4030.041935428473, -4028.689296433199]"
