method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,4,48,403.70596178696724,-5300.157734015099,-5294.790940865373,,5000,1,32635506,ok
DS order-1.5 block Gaussian,20,20,4,60,504.80455144896405,-5276.133888267578,-5277.027602273571,,5000,1,32635518,ok
DS order-1.5 block Gaussian,20,20,4,71,603.6560434309649,-5189.030048229513,-5189.741915650685,,5000,1,32635529,ok
DS order-1.5 block Gaussian,20,20,4,83,701.9833389740088,-4837.112688099726,-4790.700046124748,,5000,1,32635541,ok
DS order-1.5 block Gaussian,20,20,4,94,800.798621016962,-4947.190049459099,-4913.338778902435,,5000,1,32635552,ok
DS order-1.5 block Gaussian,20,20,5,0,10.626385670970194,-1501891.68429604,-13482.903511600287,,5000,1,32636455,ok
DS order-1.5 block Gaussian,20,20,5,11,100.94863812898984,-44089.39576462243,-9567.053958348895,,5000,1,32636466,ok
DS order-1.5 block Gaussian,20,20,5,24,207.17120393097866,-20430.555670857728,-8341.49651195245,,5000,1,32636479,ok
DS order-1.5 block Gaussian,20,20,5,36,305.4632403620053,-18895.664249056077,-8135.697160456001,,5000,1,32636491,ok
DS order-1.5 block Gaussian,20,20,5,47,404.23386817000574,-20669.208470224854,-8100.173527879693,,5000,1,32636502,ok
DS order-1.5 block Gaussian,20,20,5,58,502.98789950000355,-29450.906791918376,-8319.07806050155,,5000,1,32636513,ok
DS order-1.5 block Gaussian,20,20,5,69,601.739562591014,-12820.909666957496,-7507.518008700417,,5000,1,32636524,ok
DS order-1.5 block Gaussian,20,20,5,81,702.8510510610067,-10021.273867295396,-7103.642136011847,,5000,1,32636536,ok
DS order-1.5 block Gaussian,20,20,5,93,801.1453927750117,-6000.345945300673,-6070.965858244458,,5000,1,32636548,ok
DS order-1.5 block Gaussian,20,20,6,0,10.559856383013539,-29057.833678207484,-11540.294687086194,,5000,1,32637452,ok
DS order-1.5 block Gaussian,20,20,6,11,100.89673465001397,-5238.467120293091,-5193.743083065092,,5000,1,32637463,ok
DS order-1.5 block Gaussian,20,20,6,24,207.12456502200803,-4560.033983440957,-4248.055037791394,,5000,1,32637476,ok
DS order-1.5 block Gaussian,20,20,6,36,305.42448699101806,-4416.106439006835,-4156.452268392131,,5000,1,32637488,ok
DS order-1.5 block Gaussian,20,20,6,48,403.7487449219916,-4289.591528597699,-4080.0422261947724,,5000,1,32637500,ok
