model,effort,n_monitors,rep,logLik,se,gamma,epsilon,rho,m,c,beta_trend,bs1,bs2,bs3,bs4,bs5,bs6,sigma,tau,alpha,delta,S_0,I_0,Y_0,R1_0,R2_0,R3_0,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6
IFAD-0.97,comparable,0,20,-3745.679227780144,0.11835111712239912,20.97058868408203,15.319757461547852,0.0,0.06601030379533768,1.0,-0.004355842247605324,1.0578196048736572,6.089596748352051,-2.869558811187744,4.0498151779174805,3.4058051109313965,4.42099666595459,3.084847927093506,0.22760434448719025,1.0,0.019999993965029716,0.038793377578258514,0.3768211007118225,0.0,0.38606029748916626,0.17051777243614197,0.027807511389255524,-1.9825209379196167,-2.6441266536712646,-3.453944683074951,-4.243911266326904,-9.43579387664795,-4.538680076599121
IFAD-0.97,comparable,0,21,-3743.924120506604,0.12799414555011393,21.938995361328125,15.126242637634277,0.0,0.07213950157165527,1.0,-0.004281210713088512,1.3682770729064941,5.844237804412842,-2.060934543609619,4.002407550811768,3.5238027572631836,4.348633289337158,3.0836923122406006,0.22300681471824646,1.0,0.019999993965029716,0.0437493696808815,0.3662930130958557,0.0,0.475202739238739,0.037408821284770966,0.07734604924917221,-2.604506492614746,-2.104557752609253,-3.704101085662842,-3.998659610748291,-10.643649101257324,-3.6747055053710938
IFAD-0.97,comparable,0,22,-3744.1891080669034,0.1353157740949694,23.639623641967773,15.480181694030762,0.0,0.07580935209989548,1.0,-0.0037914004642516375,1.6204890012741089,5.665998458862305,-1.3355387449264526,3.9695188999176025,3.604414224624634,4.347870826721191,3.0799694061279297,0.22462178766727448,1.0,0.019999993965029716,0.023465966805815697,0.34527671337127686,0.0,0.3586187958717346,0.06821099668741226,0.20442748069763184,-2.495870590209961,-2.3561789989471436,-3.4728875160217285,-4.323917865753174,-10.270185470581055,-4.169404029846191
IFAD-0.97,comparable,0,23,-3744.0850303109305,0.16957735496116352,23.13641357421875,15.608176231384277,0.0,0.07339847087860107,1.0,-0.003912415821105242,1.5159724950790405,5.732314109802246,-1.6317936182022095,3.958817720413208,3.563417911529541,4.341591835021973,3.0921270847320557,0.22433477640151978,1.0,0.019999993965029716,0.06271585077047348,0.3580372929573059,0.0,0.4390733540058136,0.06535191088914871,0.07482161372900009,-2.543701648712158,-2.24784517288208,-3.5714023113250732,-4.179056167602539,-10.336241722106934,-3.9592373371124268
IFAD-0.97,comparable,0,24,-3744.1311218096735,0.18401101637479936,24.586414337158203,15.36609172821045,0.0,0.07877165079116821,1.0,-0.003966070245951414,1.7657115459442139,5.553964138031006,-0.9659522175788879,3.966123580932617,3.640845537185669,4.315924167633057,3.089787006378174,0.22267690300941467,1.0,0.019999993965029716,0.01565282978117466,0.3456629514694214,0.0,0.21107010543346405,0.36365410685539246,0.06395994126796722,-2.6650872230529785,-2.3041276931762695,-3.5642194747924805,-4.21981143951416,-11.169418334960938,-3.9041967391967773
IFAD-0.97,comparable,0,25,-3744.309307130858,0.12466359408845189,24.55847930908203,15.883570671081543,0.0,0.07877016812562943,1.0,-0.00399017846211791,1.7691137790679932,5.562387466430664,-0.954495906829834,3.960841417312622,3.645376443862915,4.33137845993042,3.0853540897369385,0.22217153012752533,1.0,0.019999993965029716,0.0637049451470375,0.3368856608867645,0.0,0.0770784318447113,0.45888298749923706,0.06344793736934662,-2.6074602603912354,-2.3713786602020264,-3.476649522781372,-4.327315807342529,-10.667842864990234,-4.075522422790527
IFAD-0.97,comparable,0,26,-3743.806774630885,0.20177669216862398,21.85709571838379,15.44027042388916,0.0,0.07106158137321472,1.0,-0.004403137601912022,1.295400619506836,5.895164966583252,-2.262063980102539,3.9985036849975586,3.505059003829956,4.365753173828125,3.0794129371643066,0.22531789541244507,1.0,0.019999993965029716,0.04093529284000397,0.36990591883659363,0.0,0.4913853406906128,0.03586738929152489,0.0619061142206192,-2.496432065963745,-2.1965785026550293,-3.6321589946746826,-4.078778266906738,-10.184738159179688,-3.85745906829834
IFAD-0.97,comparable,0,27,-3746.06987776614,0.15450751304222046,23.331960678100586,15.741621971130371,0.0,0.07327024638652802,1.0,-0.0038723733741790056,1.579294204711914,5.647497653961182,-1.2592768669128418,3.9261977672576904,3.5494723320007324,4.394047737121582,3.0427327156066895,0.22478051483631134,1.0,0.019999993965029716,0.08441722393035889,0.35798409581184387,0.0,0.41454753279685974,0.04623313993215561,0.09681795537471771,0.09627693891525269,-3.9534032344818115,-2.851515054702759,-5.01515007019043,-8.029853820800781,-14.326333045959473
IFAD-0.97,comparable,0,28,-3744.2394759907293,0.17331823830093415,21.78656768798828,15.41584587097168,0.0,0.07012820988893509,1.0,-0.004357689060270786,1.2912729978561401,5.901461601257324,-2.292487144470215,4.021640777587891,3.4962756633758545,4.360270977020264,3.0918185710906982,0.22051014006137848,1.0,0.019999993965029716,0.011730062775313854,0.3691147267818451,0.0,0.4832236170768738,0.01650591380894184,0.11942561715841293,-2.556575059890747,-2.1391689777374268,-3.701855182647705,-4.03154182434082,-10.492177963256836,-3.773418426513672
IFAD-0.97,comparable,0,29,-3744.533428672553,0.11669139483137002,21.675899505615234,15.859930992126465,0.0,0.069064199924469,1.0,-0.004237382207065821,1.2351951599121094,5.948937892913818,-2.3672256469726562,4.011043548583984,3.4713830947875977,4.381619453430176,3.095165491104126,0.22484931349754333,1.0,0.019999993965029716,0.010789196006953716,0.3769751191139221,0.0,0.3675318956375122,0.13800396025180817,0.1066998541355133,-2.2695088386535645,-2.368708610534668,-3.4769222736358643,-4.22517204284668,-9.6569242477417,-4.13078498840332
IFAD-0.97,comparable,0,30,-3744.1874226363925,0.13938637063679593,22.684106826782227,15.458208084106445,0.0,0.0727444589138031,1.0,-0.004094993229955435,1.4728904962539673,5.766820430755615,-1.748058795928955,3.995915412902832,3.547523260116577,4.3513689041137695,3.0886270999908447,0.22347617149353027,1.0,0.019999993965029716,0.05377296358346939,0.3477517366409302,0.0,0.05745428800582886,0.48906955122947693,0.05195147916674614,-2.4942970275878906,-2.3050060272216797,-3.5225136280059814,-4.232719898223877,-10.19317626953125,-4.052931308746338
IFAD-0.97,comparable,0,31,-3744.2570998057718,0.15376787668892192,23.78561019897461,16.105640411376953,0.0,0.07506028562784195,1.0,-0.004037359729409218,1.631479263305664,5.665467262268066,-1.261631727218628,3.9546215534210205,3.5874149799346924,4.343562126159668,3.1107773780822754,0.22361309826374054,1.0,0.019999993965029716,0.017902206629514694,0.3584743142127991,0.0,0.26407644152641296,0.25426000356674194,0.10528702288866043,-2.2415802478790283,-2.5495951175689697,-3.300265073776245,-4.488777160644531,-9.583760261535645,-4.604253768920898
IFAD-0.97,comparable,0,32,-3744.690185020199,0.16047237252260718,20.278627395629883,14.471982955932617,0.0,0.06831799447536469,1.0,-0.004474991001188755,0.9982630610466003,6.137426376342773,-3.208524227142334,4.087961196899414,3.4012773036956787,4.3856987953186035,3.038156270980835,0.22698040306568146,1.0,0.019999993965029716,0.004941694904118776,0.3665018379688263,0.0,0.49415725469589233,0.016964435577392578,0.1174347773194313,-2.940422296524048,-1.680457353591919,-4.2679033279418945,-3.302072286605835,-12.649222373962402,-2.8885622024536133
IFAD-0.97,comparable,0,33,-3744.4597999085445,0.13615185264826732,21.237642288208008,15.2850980758667,0.0,0.06981545686721802,1.0,-0.004348961170762777,1.1684703826904297,5.986583232879639,-2.621840000152588,4.038280963897705,3.4744129180908203,4.3817548751831055,3.0633819103240967,0.22297939658164978,1.0,0.019999993965029716,0.006352606695145369,0.36404678225517273,0.0,0.35212618112564087,0.13851705193519592,0.13895738124847412,-2.5101635456085205,-2.147575616836548,-3.6962502002716064,-3.999135732650757,-10.253316879272461,-3.765481472015381
