method,effort,replicate,euler_loglik
IF2,comparable,97,-3755.1375446954476
IF2,comparable,98,-3758.5706072933226
IF2,comparable,99,-3753.614476646229
IFAD-0,extended,0,-3750.0257231875535
IFAD-0,extended,1,-3749.930401166002
IFAD-0,extended,2,-3753.0354518138925
IFAD-0,extended,3,-3751.830654808234
IFAD-0,extended,4,-3750.1861041387365
IFAD-0,extended,5,-3751.3010933949304
IFAD-0,extended,6,-3752.67795445215
IFAD-0,extended,7,-3749.839722209611
IFAD-0,extended,8,-3806.461413724932
IFAD-0,extended,9,-3749.7961189543303
IFAD-0,extended,10,-3752.1342632242936
IFAD-0,extended,11,-3750.5942662756233
IFAD-0,extended,12,-3753.326541220123
IFAD-0,extended,13,-3750.1956879746454
IFAD-0,extended,14,-3749.7350635874536
IFAD-0,extended,15,-3748.8325483520784
IFAD-0,extended,16,-3750.078468497501
IFAD-0,extended,17,-3750.512980164403
IFAD-0,extended,18,-3750.1603346731736
IFAD-0,extended,19,-3749.541885201402
IFAD-0,extended,20,-3752.5579564807454
IFAD-0,extended,21,-3748.9525566373636
IFAD-0,extended,22,-3748.8438258638926
IFAD-0,extended,23,-3748.659919002028
IFAD-0,extended,24,-3749.17801486297
IFAD-0,extended,25,-3750.1243638933474
IFAD-0,extended,26,-3750.075349069344
IFAD-0,extended,27,-3750.608306788778
IFAD-0,extended,28,-3750.4283785150633
IFAD-0,extended,29,-3752.2270519445665
IFAD-0,extended,30,-3748.751720294364
IFAD-0,extended,31,-3749.079194961111
IFAD-0,extended,32,-3750.8449741722343
IFAD-0,extended,33,-3750.258604516391
IFAD-0,extended,34,-3749.7400595443437
IFAD-0,extended,35,-3750.1962338097474
IFAD-0,extended,36,-3750.723052248926
IFAD-0,extended,37,-3749.0296439332747
IFAD-0,extended,38,-3752.27379004141
IFAD-0,extended,39,-3751.1520544932714
IFAD-0,extended,40,-3754.34124530864
IFAD-0,extended,41,-3754.619382187341
IFAD-0,extended,42,-3750.1206177921
IFAD-0,extended,43,-3749.8486853917666
IFAD-0,extended,44,-3750.780626483734
IFAD-0,extended,45,-3754.0126412612467
IFAD-0,extended,46,-3750.252736910877
IFAD-0,extended,47,-3748.8748138244846
IFAD-0,extended,48,-3748.518945733846
IFAD-0,extended,49,-3750.5238654174664
IFAD-0,extended,50,-3748.698819238457
IFAD-0,extended,51,-3750.6083273165345
IFAD-0,extended,52,-3754.9355118702156
IFAD-0,extended,53,-3748.4256726223684
IFAD-0,extended,54,-3753.142975790671
IFAD-0,extended,55,-3749.904011039753
IFAD-0,extended,56,-3750.759415576535
IFAD-0,extended,57,-3750.197587963402
IFAD-0,extended,58,-3753.8918874972574
IFAD-0,extended,59,-3750.43825995697
IFAD-0,extended,60,-3752.6962708477613
IFAD-0,extended,61,-3748.921865234339
IFAD-0,extended,62,-3750.681209222425
IFAD-0,extended,63,-3751.237314554081
IFAD-0,extended,64,-3749.5482295081206
IFAD-0,extended,65,-3750.884181756914
IFAD-0,extended,66,-3752.3793632821003
IFAD-0,extended,67,-3750.1237039161924
IFAD-0,extended,68,-3750.6955523129304
IFAD-0,extended,69,-3751.6100029354884
IFAD-0,extended,70,-3752.8854747006144
IFAD-0,extended,71,-3750.5159786283457
IFAD-0,extended,72,-3754.400459985565
IFAD-0,extended,73,-3752.251102056589
IFAD-0,extended,74,-3752.7938048493716
IFAD-0,extended,75,-3750.3294425625
IFAD-0,extended,76,-24867.998046875
IFAD-0,extended,77,-3750.5458561009036
IFAD-0,extended,78,-3748.896615767201
IFAD-0,extended,79,-3752.932197688081
IFAD-0,extended,80,-3748.324035317956
IFAD-0,extended,81,-3748.968357643109
IFAD-0,extended,82,-3750.1426865495446
IFAD-0,extended,83,-3749.2484173358625
IFAD-0,extended,84,-3749.8201017928786
IFAD-0,extended,85,-3750.467934405208
IFAD-0,extended,86,-3749.598868572679
IFAD-0,extended,87,-3751.5108745286484
IFAD-0,extended,88,-3750.768653967146
IFAD-0,extended,89,-3750.414280877795
IFAD-0,extended,90,-3750.252096654044
IFAD-0,extended,91,-3748.6556450496932
IFAD-0,extended,92,-3750.248815623252
IFAD-0,extended,93,-3749.5764938370894
IFAD-0,extended,94,-3749.8652410811433
IFAD-0,extended,95,-3751.1212412594996
IFAD-0,extended,96,-3749.6918064823058
IFAD-0,extended,97,-3752.7104877174866
IFAD-0,extended,98,-3750.8995871668394
IFAD-0,extended,99,-3749.728041743105
IFAD-0.97,extended,0,-3744.1037520242876
IFAD-0.97,extended,1,-3744.321566378777
IFAD-0.97,extended,2,-3744.2568384722126
IFAD-0.97,extended,3,-3743.9865712846067
IFAD-0.97,extended,4,-3744.0310043983236
IFAD-0.97,extended,5,-3744.217798833143
IFAD-0.97,extended,6,-3744.3632002166028
IFAD-0.97,extended,7,-3743.888400454161
IFAD-0.97,extended,8,-3747.232193941345
IFAD-0.97,extended,9,-3744.0229840658767
IFAD-0.97,extended,10,-3744.0863840394004
IFAD-0.97,extended,11,-3743.840573559081
IFAD-0.97,extended,12,-3743.843515820134
IFAD-0.97,extended,13,-3744.2569371453346
IFAD-0.97,extended,14,-3743.7614022386674
IFAD-0.97,extended,15,-3744.3213102128125
IFAD-0.97,extended,16,-3743.9927321133373
IFAD-0.97,extended,17,-3744.090404913568
IFAD-0.97,extended,18,-3744.0177484464493
IFAD-0.97,extended,19,-3743.8564450003364
IFAD-0.97,extended,20,-3744.235010721799
IFAD-0.97,extended,21,-3744.3535676273377
IFAD-0.97,extended,22,-3744.0642357715496
IFAD-0.97,extended,23,-3744.139558186526
IFAD-0.97,extended,24,-3743.9027421473616
IFAD-0.97,extended,25,-3744.1321649122574
IFAD-0.97,extended,26,-3744.019001821202
IFAD-0.97,extended,27,-3745.796145168297
IFAD-0.97,extended,28,-3744.2022049369893
IFAD-0.97,extended,29,-3743.9988507229914
IFAD-0.97,extended,30,-3744.10194141052
IFAD-0.97,extended,31,-3744.264120352364
IFAD-0.97,extended,32,-3744.2576107186555
IFAD-0.97,extended,33,-3744.1230819625343
IFAD-0.97,extended,34,-3743.8152672243486
IFAD-0.97,extended,35,-3744.223291326645
IFAD-0.97,extended,36,-3743.737100457266
IFAD-0.97,extended,37,-3743.8238105184037
IFAD-0.97,extended,38,-3744.083397446529
IFAD-0.97,extended,39,-3743.8468186554533
IFAD-0.97,extended,40,-3743.9213914229936
IFAD-0.97,extended,41,-3745.6045149763936
IFAD-0.97,extended,42,-3743.7298141479014
IFAD-0.97,extended,43,-3743.896976541608
IFAD-0.97,extended,44,-3744.0196645508563
IFAD-0.97,extended,45,-3744.0073652785886
IFAD-0.97,extended,46,-3743.8659544956477
IFAD-0.97,extended,47,-3743.7946508226855
IFAD-0.97,extended,48,-3743.910102540677
IFAD-0.97,extended,49,-3743.656648286329
IFAD-0.97,extended,50,-3743.860879096983
IFAD-0.97,extended,51,-3744.108164252954
IFAD-0.97,extended,52,-3745.559131110635
IFAD-0.97,extended,53,-3743.924281628534
IFAD-0.97,extended,54,-3743.5329761205835
IFAD-0.97,extended,55,-3744.168900595338
IFAD-0.97,extended,56,-3743.906194381768
IFAD-0.97,extended,57,-3744.0567345007275
IFAD-0.97,extended,58,-3744.355462119088
IFAD-0.97,extended,59,-3744.237236441565
IFAD-0.97,extended,60,-3743.821345047928
IFAD-0.97,extended,61,-3744.2366575180245
IFAD-0.97,extended,62,-3744.273305624623
IFAD-0.97,extended,63,-3744.079805031665
IFAD-0.97,extended,64,-3743.944909059263
IFAD-0.97,extended,65,-3743.798737518168
IFAD-0.97,extended,66,-3744.1701737531935
IFAD-0.97,extended,67,-3744.203766531555
IFAD-0.97,extended,68,-3743.897794165656
IFAD-0.97,extended,69,-3744.010018647621
IFAD-0.97,extended,70,-3743.944693579658
IFAD-0.97,extended,71,-3743.9933047324785
IFAD-0.97,extended,72,-3744.1098088660965
IFAD-0.97,extended,73,-3744.2121678387375
IFAD-0.97,extended,74,-3744.3237498259473
IFAD-0.97,extended,75,-3743.9101809971107
IFAD-0.97,extended,76,-3744.3567077107323
IFAD-0.97,extended,77,-3744.132637774237
IFAD-0.97,extended,78,-3744.0761747068786
IFAD-0.97,extended,79,-3743.9254006144315
IFAD-0.97,extended,80,-3743.844529785072
IFAD-0.97,extended,81,-3743.998562365861
IFAD-0.97,extended,82,-3743.860794133088
IFAD-0.97,extended,83,-3744.409993010993
IFAD-0.97,extended,84,-3744.3942419573004
IFAD-0.97,extended,85,-3744.3743438947213
IFAD-0.97,extended,86,-3744.022624065753
IFAD-0.97,extended,87,-3743.9978120353107
IFAD-0.97,extended,88,-3743.912450082016
IFAD-0.97,extended,89,-3743.886091100141
IFAD-0.97,extended,90,-3744.1038186169803
IFAD-0.97,extended,91,-3743.970863386828
IFAD-0.97,extended,92,-3743.920905483881
IFAD-0.97,extended,93,-3743.9456487528673
IFAD-0.97,extended,94,-3743.9149282260582
IFAD-0.97,extended,95,-3743.749314312156
IFAD-0.97,extended,96,-3744.077963848706
IFAD-0.97,extended,97,-3744.135740916871
IFAD-0.97,extended,98,-3744.0479318388448
IFAD-0.97,extended,99,-3744.309131271747
IFAD-1,extended,0,-3745.2429600287714
IFAD-1,extended,1,-3744.3010643499797
IFAD-1,extended,2,-3745.1575599207567
IFAD-1,extended,3,-3746.0087055065364
IFAD-1,extended,4,-3745.8481422675914
IFAD-1,extended,5,-3747.336767092383
IFAD-1,extended,6,-3744.619981986744
IFAD-1,extended,7,-3745.120720891644
IFAD-1,extended,8,-3773.734669087111
IFAD-1,extended,9,-3744.97656077453
IFAD-1,extended,10,-3745.177203472709
IFAD-1,extended,11,-24867.998046875
IFAD-1,extended,12,-3746.7812349672895
IFAD-1,extended,13,-3744.0443737301403
IFAD-1,extended,14,-3745.759884681623
IFAD-1,extended,15,-3745.393533999356
IFAD-1,extended,16,-3745.2256339152086
IFAD-1,extended,17,-3746.6571992853874
IFAD-1,extended,18,-3746.3245437183145
IFAD-1,extended,19,-3745.083923500719
IFAD-1,extended,20,-3746.434608668766
IFAD-1,extended,21,-3744.777725146825
IFAD-1,extended,22,-3745.5993423018194
IFAD-1,extended,23,-3745.7978691244602
