method,order,inference_nstep,start,iteration,approx_loglik,gradient_norm
DS-local+nugget QML,2,10,4,10,-7313.850268835524,7084.4155110944785
DS-local+nugget QML,2,10,4,11,-7267.248501724629,6722.441464027455
DS-local+nugget QML,2,10,4,12,-7223.326859976378,6382.262194890081
DS-local+nugget QML,2,10,4,13,-7181.938594667474,6063.110139058224
DS-local+nugget QML,2,10,4,14,-7142.942180085708,5764.019479793305
DS-local+nugget QML,2,10,4,15,-7106.203547492856,5483.93421747529
DS-local+nugget QML,2,10,4,16,-7071.594407975674,5221.99238889164
DS-local+nugget QML,2,10,4,17,-7038.991539527446,4977.35370199499
DS-local+nugget QML,2,10,4,18,-7008.2763661354775,4749.197592144467
DS-local+nugget QML,2,10,4,19,-6979.334567886418,4536.721330867257
DS-local+nugget QML,2,10,4,20,-6952.055726308166,4339.138223069101
DS-local+nugget QML,2,10,4,21,-6926.333011659362,4155.675856197499
DS-local+nugget QML,2,10,4,22,-6902.062922410786,3985.5744631760945
DS-local+nugget QML,2,10,4,23,-6879.145089411425,3828.0855661139963
DS-local+nugget QML,2,10,4,24,-6857.482184097831,3682.4630327763516
DS-local+nugget QML,2,10,4,25,-6836.979879749744,3547.983619261668
DS-local+nugget QML,2,20,0,0,-3921.183064862524,525.4534494312874
DS-local+nugget QML,2,20,0,1,-3917.918396016565,472.6701063365628
DS-local+nugget QML,2,20,0,2,-3915.047054823499,417.81034859455656
DS-local+nugget QML,2,20,0,3,-3912.5860382703445,361.02290149342275
DS-local+nugget QML,2,20,0,4,-3910.5516201416785,302.68524764300554
DS-local+nugget QML,2,20,0,5,-3908.956796034791,243.7064224047524
DS-local+nugget QML,2,20,0,6,-3907.8030655314783,186.3189883451167
DS-local+nugget QML,2,20,0,7,-3907.056295634453,135.89215295380467
DS-local+nugget QML,2,20,0,8,-3906.5970340318227,102.36614549786955
DS-local+nugget QML,2,20,0,9,-3906.225910041605,91.0931240216236
DS-local+nugget QML,2,20,0,10,-3905.817280291579,92.70613958127882
DS-local+nugget QML,2,20,0,11,-3905.3381353038726,96.65700673092677
DS-local+nugget QML,2,20,0,12,-3904.7883917856348,98.16860013032448
DS-local+nugget QML,2,20,0,13,-3904.18063658478,96.04689970134207
DS-local+nugget QML,2,20,0,14,-3903.534292520192,90.79574565558042
DS-local+nugget QML,2,20,0,15,-3902.8716880452534,83.88649130357186
DS-local+nugget QML,2,20,0,16,-3902.2140975780644,77.44149824165348
DS-local+nugget QML,2,20,0,17,-3901.5779367132186,73.6892580132056
DS-local+nugget QML,2,20,0,18,-3900.9721485977375,73.8422178570352
DS-local+nugget QML,2,20,0,19,-3900.3981292055996,77.2798378180929
DS-local+nugget QML,2,20,0,20,-3899.851871138307,82.21078988278377
DS-local+nugget QML,2,20,0,21,-3899.326722939067,86.89355442862875
DS-local+nugget QML,2,20,0,22,-3898.8158216453826,90.17686993759237
DS-local+nugget QML,2,20,0,23,-3898.3137634361906,91.47594948452186
DS-local+nugget QML,2,20,0,24,-3897.8173805901624,90.61338348717737
DS-local+nugget QML,2,20,0,25,-3897.325763921876,87.694964910165
DS-local+nugget QML,2,20,1,0,-6050.150477572025,1680.386011457149
DS-local+nugget QML,2,20,1,1,-6038.425962383327,1665.227925022264
DS-local+nugget QML,2,20,1,2,-6026.746495191646,1650.3077931837424
DS-local+nugget QML,2,20,1,3,-6015.110747938297,1635.62586273854
DS-local+nugget QML,2,20,1,4,-6003.517378524082,1621.1824492152937
DS-local+nugget QML,2,20,1,5,-5991.965035934998,1606.9779096424797
DS-local+nugget QML,2,20,1,6,-5980.452365973565,1593.012605872439
DS-local+nugget QML,2,20,1,7,-5968.97801771359,1579.2868566728548
DS-local+nugget QML,2,20,1,8,-5957.54065081935,1565.8008765170825
DS-local+nugget QML,2,20,1,9,-5946.138943895563,1552.5546987111695
DS-local+nugget QML,2,20,1,10,-5934.771604059672,1539.5480801920432
DS-local+nugget QML,2,20,1,11,-5923.437377959867,1526.7803850577782
